customer_hk,cust_newsletter,cust_channel,cust_language,x_record_source,x_load_ts,_bv_source,cust_address,cust_city,cust_postal_code,cust_email,cust_phone,cust_segment,cust_loyalty_tier,cust_demo_score
104-177-251-231-241-110-74-227-2-73-115-241-47-60-179-19,,,,CRM-c360-demo,2024/02/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,96
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,323 Market Street,Los Angeles,10223,,,,,
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1224@example.com,+1-555-1224,,,
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,73
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,Y,PORTAL,es,CRM-c360-prefs,2024/05/01 00:00:00.000000000,PREFS,,,,,,,,
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,,,,CRM-c360-address,2024/05/01 00:00:00.000000000,ADDRESS,367 Updated Avenue,Philadelphia,10227,,,,,
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,,,,CRM-c360-contact,2024/05/01 00:00:00.000000000,CONTACT,,,,customer1224.v4@example.com,+1-555-1224-4,,,
104-209-60-242-108-75-79-79-147-46-62-255-153-0-147-186,,,,CRM-c360-demo,2024/05/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,80
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,Y,EMAIL,en,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,228 Market Street,Chicago,10128,,,,,
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1129@example.com,+1-555-1129,,,
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,RETAIL,BRONZE,78
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,N,EMAIL,en,CRM-c360-prefs,2024/05/01 00:00:00.000000000,PREFS,,,,,,,,
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,,,,CRM-c360-address,2024/05/01 00:00:00.000000000,ADDRESS,272 Updated Avenue,New York,10132,,,,,
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,,,,CRM-c360-contact,2024/05/01 00:00:00.000000000,CONTACT,,,,customer1129.v4@example.com,+1-555-1129-4,,,
105-165-181-153-81-16-179-106-154-52-120-152-217-122-97-14,,,,CRM-c360-demo,2024/05/01 00:00:00.000000000,DEMO,,,,,,RETAIL,BRONZE,85
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,191 Market Street,Los Angeles,10091,,,,,
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1092@example.com,+1-555-1092,,,
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,91
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,Y,PHONE,de,CRM-c360-prefs,2024/04/01 00:00:00.000000000,PREFS,,,,,,,,
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,,,,CRM-c360-address,2024/04/01 00:00:00.000000000,ADDRESS,224 Updated Avenue,Phoenix,10094,,,,,
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,,,,CRM-c360-contact,2024/04/01 00:00:00.000000000,CONTACT,,,,customer1092.v3@example.com,+1-555-1092-3,,,
106-47-238-248-237-106-159-231-109-107-63-48-240-33-80-180,,,,CRM-c360-demo,2024/04/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,97
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,Y,EMAIL,en,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,316 Market Street,New York,10216,,,,,
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1217@example.com,+1-555-1217,,,
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,RETAIL,BRONZE,66
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,N,PORTAL,es,CRM-c360-prefs,2024/04/01 00:00:00.000000000,PREFS,,,,,,,,
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,,,,CRM-c360-address,2024/04/01 00:00:00.000000000,ADDRESS,349 Updated Avenue,Houston,10219,,,,,
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,,,,CRM-c360-contact,2024/04/01 00:00:00.000000000,CONTACT,,,,customer1217.v3@example.com,+1-555-1217-3,,,
106-97-212-35-208-42-28-86-37-13-194-58-231-255-18-243,,,,CRM-c360-demo,2024/04/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,72
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,Y,EMAIL,en,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,112 Market Street,New York,10012,,,,,
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1013@example.com,+1-555-1013,,,
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,RETAIL,BRONZE,62
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,N,SMS,fr,CRM-c360-prefs,2024/02/01 00:00:00.000000000,PREFS,,,,,,,,
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,,,,CRM-c360-address,2024/02/01 00:00:00.000000000,ADDRESS,123 Updated Avenue,Los Angeles,10013,,,,,
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,,,,CRM-c360-contact,2024/02/01 00:00:00.000000000,CONTACT,,,,customer1013.v1@example.com,+1-555-1013-1,,,
107-24-0-55-171-190-190-169-145-216-177-35-47-138-140-169,,,,CRM-c360-demo,2024/02/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,66
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,363 Market Street,Philadelphia,10263,,,,,
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1264@example.com,+1-555-1264,,,
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,63
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,Y,PORTAL,es,CRM-c360-prefs,2024/05/01 00:00:00.000000000,PREFS,,,,,,,,
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,,,,CRM-c360-address,2024/05/01 00:00:00.000000000,ADDRESS,407 Updated Avenue,Houston,10267,,,,,
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,,,,CRM-c360-contact,2024/05/01 00:00:00.000000000,CONTACT,,,,customer1264.v4@example.com,+1-555-1264-4,,,
108-141-186-125-13-241-196-167-157-208-118-70-190-154-38-200,,,,CRM-c360-demo,2024/05/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,70
108-20-218-16-158-41-77-30-129-85-190-138-164-177-206-142,Y,PHONE,de,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
108-20-218-16-158-41-77-30-129-85-190-138-164-177-206-142,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,330 Market Street,Chicago,10230,,,,,
108-20-218-16-158-41-77-30-129-85-190-138-164-177-206-142,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1231@example.com,+1-555-1231,,,
108-20-218-16-158-41-77-30-129-85-190-138-164-177-206-142,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,80
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,Y,PHONE,de,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,162 Market Street,Chicago,10062,,,,,
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1063@example.com,+1-555-1063,,,
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,62
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,N,PORTAL,es,CRM-c360-prefs,2024/02/01 00:00:00.000000000,PREFS,,,,,,,,
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,,,,CRM-c360-address,2024/02/01 00:00:00.000000000,ADDRESS,173 Updated Avenue,Houston,10063,,,,,
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,,,,CRM-c360-contact,2024/02/01 00:00:00.000000000,CONTACT,,,,customer1063.v1@example.com,+1-555-1063-1,,,
108-52-15-37-131-158-106-205-199-52-20-81-114-3-245-240,,,,CRM-c360-demo,2024/02/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,66
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,N,SMS,fr,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,137 Market Street,Los Angeles,10037,,,,,
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1038@example.com,+1-555-1038,,,
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,87
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,Y,PHONE,de,CRM-c360-prefs,2024/02/01 00:00:00.000000000,PREFS,,,,,,,,
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,,,,CRM-c360-address,2024/02/01 00:00:00.000000000,ADDRESS,148 Updated Avenue,Chicago,10038,,,,,
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,,,,CRM-c360-contact,2024/02/01 00:00:00.000000000,CONTACT,,,,customer1038.v1@example.com,+1-555-1038-1,,,
109-112-203-101-209-82-17-114-109-204-228-192-233-113-226-28,,,,CRM-c360-demo,2024/02/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,91
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,Y,PHONE,de,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,262 Market Street,New York,10162,,,,,
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1163@example.com,+1-555-1163,,,
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,ENTERPRISE,GOLD,62
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,N,PORTAL,es,CRM-c360-prefs,2024/02/01 00:00:00.000000000,PREFS,,,,,,,,
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,,,,CRM-c360-address,2024/02/01 00:00:00.000000000,ADDRESS,273 Updated Avenue,Los Angeles,10163,,,,,
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,,,,CRM-c360-contact,2024/02/01 00:00:00.000000000,CONTACT,,,,customer1163.v1@example.com,+1-555-1163-1,,,
110-125-45-166-211-149-48-88-219-117-113-74-196-0-181-132,,,,CRM-c360-demo,2024/02/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,66
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,279 Market Street,Philadelphia,10179,,,,,
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1180@example.com,+1-555-1180,,,
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,79
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,Y,SMS,fr,CRM-c360-prefs,2024/03/01 00:00:00.000000000,PREFS,,,,,,,,
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,,,,CRM-c360-address,2024/03/01 00:00:00.000000000,ADDRESS,301 Updated Avenue,Los Angeles,10181,,,,,
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,,,,CRM-c360-contact,2024/03/01 00:00:00.000000000,CONTACT,,,,customer1180.v2@example.com,+1-555-1180-2,,,
110-182-231-95-221-236-2-24-53-29-197-192-200-70-65-4,,,,CRM-c360-demo,2024/03/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,84
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,N,PORTAL,es,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,399 Market Street,Philadelphia,10299,,,,,
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1300@example.com,+1-555-1300,,,
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,99
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,Y,SMS,fr,CRM-c360-prefs,2024/03/01 00:00:00.000000000,PREFS,,,,,,,,
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,,,,CRM-c360-address,2024/03/01 00:00:00.000000000,ADDRESS,421 Updated Avenue,Los Angeles,10301,,,,,
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,,,,CRM-c360-contact,2024/03/01 00:00:00.000000000,CONTACT,,,,customer1300.v2@example.com,+1-555-1300-2,,,
111-62-41-163-82-120-215-28-127-101-73-88-113-35-19-36,,,,CRM-c360-demo,2024/03/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,99
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,N,SMS,fr,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,173 Market Street,Los Angeles,10073,,,,,
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1074@example.com,+1-555-1074,,,
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,73
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,Y,SMS,fr,CRM-c360-prefs,2024/05/01 00:00:00.000000000,PREFS,,,,,,,,
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,,,,CRM-c360-address,2024/05/01 00:00:00.000000000,ADDRESS,217 Updated Avenue,Philadelphia,10077,,,,,
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,,,,CRM-c360-contact,2024/05/01 00:00:00.000000000,CONTACT,,,,customer1074.v4@example.com,+1-555-1074-4,,,
112-143-60-248-16-13-94-113-131-75-29-183-125-250-21-214,,,,CRM-c360-demo,2024/05/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,80
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,N,SMS,fr,CRM-c360-prefs,2024/01/01 00:00:00.000000000,PREFS,,,,,,,,
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,,,,CRM-c360-address,2024/01/01 00:00:00.000000000,ADDRESS,389 Market Street,Los Angeles,10289,,,,,
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,,,,CRM-c360-contact,2024/01/01 00:00:00.000000000,CONTACT,,,,customer1290@example.com,+1-555-1290,,,
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,,,,CRM-c360-demo,2024/01/01 00:00:00.000000000,DEMO,,,,,,WHOLESALE,SILVER,89
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,Y,PORTAL,es,CRM-c360-prefs,2024/03/01 00:00:00.000000000,PREFS,,,,,,,,
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,,,,CRM-c360-address,2024/03/01 00:00:00.000000000,ADDRESS,411 Updated Avenue,Houston,10291,,,,,
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,,,,CRM-c360-contact,2024/03/01 00:00:00.000000000,CONTACT,,,,customer1290.v2@example.com,+1-555-1290-2,,,
112-34-41-73-204-13-184-154-179-44-153-105-117-77-71-88,,,,CRM-c360-demo,2024/03/01 00:00:00.000000000,DEMO,,,,,,SMB,PLATINUM,94
